target,P,sanode_params,mean_mse,std_mse,hist_params,hist_mse,vor_params,vor_mse
smooth,5,98,0.3682013849417369,0.0006572951365481634,5000,0.24226967258403817,80000,0.08945992129631843
smooth,11,206,0.12388101716836293,0.00014822081627534342,5000,0.24226967258403817,80000,0.08945992129631843
smooth,23,422,0.09937774141629536,0.0005731756121157642,5000,0.24226967258403817,80000,0.08945992129631843
smooth,51,926,0.04330737143754959,0.0018454534450193195,5000,0.24226967258403817,80000,0.08945992129631843
smooth,109,1970,0.035157233476638794,0.0007537779705217138,5000,0.24226967258403817,80000,0.08945992129631843
smooth,237,4274,0.02788243256509304,0.0005374919485719406,5000,0.24226967258403817,80000,0.08945992129631843
smooth,512,9224,0.027241354808211327,0.0001264749771338546,5000,0.24226967258403817,80000,0.08945992129631843
smooth,1024,18440,0.027518264949321747,0.00014554756711660234,5000,0.24226967258403817,80000,0.08945992129631843
holder,5,98,0.05130846053361893,0.00018594335900864052,5000,0.99792418162184,80000,0.13974097265870097
holder,11,206,0.04013118768731753,2.7292068673678918e-05,5000,0.99792418162184,80000,0.13974097265870097
holder,23,422,0.020355386038621266,4.420333337534264e-05,5000,0.99792418162184,80000,0.13974097265870097
holder,51,926,7.939607651981835e-05,2.8743519742576203e-05,5000,0.99792418162184,80000,0.13974097265870097
holder,109,1970,1.669606929984487e-05,2.0422356719452892e-06,5000,0.99792418162184,80000,0.13974097265870097
holder,237,4274,7.513054545900862e-06,4.216979665042003e-07,5000,0.99792418162184,80000,0.13974097265870097
holder,512,9224,7.289285652708107e-06,2.5851947232241637e-07,5000,0.99792418162184,80000,0.13974097265870097
holder,1024,18440,1.0693759274242135e-05,4.5973093613234716e-07,5000,0.99792418162184,80000,0.13974097265870097
