target,P,sanode_params,mean_mse,std_mse,hist_params,hist_mse,vor_params,vor_mse
smooth,5,43,0.10601083189249039,0.03687522269591552,500,0.5022364208318228,3000,0.02139109403723404
smooth,11,91,0.07508977502584457,0.0322294438313319,500,0.5022364208318228,3000,0.02139109403723404
smooth,23,187,0.04458315670490265,0.01766033275185527,500,0.5022364208318228,3000,0.02139109403723404
smooth,51,411,0.031232654427488644,0.004374205547601992,500,0.5022364208318228,3000,0.02139109403723404
smooth,109,875,0.025326633205016453,0.002851560526439027,500,0.5022364208318228,3000,0.02139109403723404
smooth,237,1899,0.02277898353834947,0.0022186680285863278,500,0.5022364208318228,3000,0.02139109403723404
smooth,512,4099,0.02014182321727276,0.0007945258600306666,500,0.5022364208318228,3000,0.02139109403723404
smooth,1024,8195,0.01923236499230067,0.0009239399435641207,500,0.5022364208318228,3000,0.02139109403723404
holder,5,43,0.030177513137459755,0.004030875320520267,500,0.9219894351733292,3000,0.028348003444271186
holder,11,91,0.013998224332074946,0.01101091580864262,500,0.9219894351733292,3000,0.028348003444271186
holder,23,187,0.00012086269998690113,3.092413319941688e-05,500,0.9219894351733292,3000,0.028348003444271186
holder,51,411,4.883520038371595e-05,1.0310603359607935e-05,500,0.9219894351733292,3000,0.028348003444271186
holder,109,875,3.3322822370488815e-05,6.735910395632483e-06,500,0.9219894351733292,3000,0.028348003444271186
holder,237,1899,4.442793700339583e-05,9.936695549821448e-06,500,0.9219894351733292,3000,0.028348003444271186
holder,512,4099,3.8822778151370585e-05,3.897197180816046e-06,500,0.9219894351733292,3000,0.028348003444271186
holder,1024,8195,3.987653326475993e-05,2.7476772719481947e-06,500,0.9219894351733292,3000,0.028348003444271186
